Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,85040.04,821.9531,0.97598207,1687273078784,11938022400,19840924,2025-03-23,16:17:57
ETH-USD,Ethereum USD,1996.28,-0.5810547,-0.02909964,240824811520,7431822336,120636792,2025-03-23,16:17:57
BNB-USD,BNB USD,623.11017,-3.1776733,-0.5073782,88776392704,1213748352,142473024,2025-03-23,16:17:57
XRP-USD,XRP USD,2.392133,0.0071759224,0.30088264,139121934336,1985615104,58158112768,2025-03-23,16:17:57
ADA-USD,Cardano USD,0.69448787,-0.012804627,-1.810374,24473018368,552249216,35238940672,2025-03-23,16:17:57
SOL-USD,Solana USD,130.84795,1.0035858,0.7729218,66813177856,1656510336,510616896,2025-03-23,16:17:57
DOGE-USD,Dogecoin USD,0.17052983,0.0014294684,0.84533197,25332385792,549099648,148551057408,2025-03-23,16:17:57
DOT-USD,Polkadot USD,4.427495,-0.09196901,-2.0349483,6908807680,125159312,1560432512,2025-03-23,16:17:57
MATIC-USD,Polygon USD,0.209228,-0.002145633,-1.0150914,0,545171,0,2025-03-23,16:17:57
LTC-USD,Litecoin USD,91.53096,-0.31311798,-0.3409223,6915938816,288339424,75558472,2025-03-23,16:17:57
BCH-USD,Bitcoin Cash USD,322.17624,-3.1678467,-0.9736983,6393938944,194504608,19846090,2025-03-23,16:17:57
LINK-USD,Chainlink USD,14.341798,-0.10128689,-0.70128274,9423994880,219174208,657099968,2025-03-23,16:17:57
XLM-USD,Stellar USD,0.2806554,0.0025910437,0.9318105,8632379392,152282944,30757926912,2025-03-23,16:17:57
UNI-USD,UNICORN Token USD,0.00017076223,1.5029655e-06,0.88796777,18256,3,106912512,2025-03-23,16:17:57
ETC-USD,Ethereum Classic USD,17.619669,-0.29839134,-1.6653062,2664677888,77479864,151233136,2025-03-23,16:17:57
FIL-USD,Filecoin USD,2.9748669,-0.05697012,-1.879069,1921387392,74578560,645873408,2025-03-23,16:17:57
ATOM-USD,Cosmos USD,4.6902947,-0.3192873,-6.37353,1833596544,128943352,390934208,2025-03-23,16:17:57
VET-USD,VeChain USD,0.02500588,-0.000554787,-2.1704736,2150131712,49730156,85985042432,2025-03-23,16:17:57
HBAR-USD,Hedera USD,0.18200114,-0.0024865419,-1.34781,7683978752,168362320,42219401216,2025-03-23,16:17:57
ICP-USD,Internet Computer USD,5.7705336,-0.03419733,-0.5891262,2780182272,42150020,481789440,2025-03-23,16:17:57
EGLD-USD,MultiversX USD,18.26022,-0.15522957,-0.8429345,511485472,34586956,28010916,2025-03-23,16:17:57
MANA-USD,Decentraland USD,0.25943497,-0.0061151087,-2.3028135,503888896,45325296,1942255232,2025-03-23,16:17:57
SAND-USD,The Sandbox USD,0.28051767,-0.0056357086,-1.9694716,696064512,46202932,2481357056,2025-03-23,16:17:57
AXS-USD,Axie Infinity USD,3.3288534,-0.09542847,-2.7868164,531669088,17761772,159715376,2025-03-23,16:17:57
THETA-USD,Theta Network USD,0.91270554,-0.0316149,-3.3478987,912705536,13943220,1000000000,2025-03-23,16:17:57
AAVE-USD,Aave USD,182.25342,0.35661316,0.19605313,2750433280,172489072,15091258,2025-03-23,16:17:57
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-23,16:17:57
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-23,16:17:57
FLOW-USD,Flow USD,0.40962192,-0.011701405,-2.777295,643543040,16791312,1571065856,2025-03-23,16:17:57
KSM-USD,Kusama USD,16.95491,-0.35027122,-2.0240831,275862272,11360757,16270346,2025-03-23,16:17:57
XTZ-USD,Tezos USD,0.68421656,-0.02336061,-3.301494,708783744,15295068,1035905600,2025-03-23,16:17:57
NEO-USD,Neo USD,7.9948378,-0.2200203,-2.678317,563946496,13832949,70538832,2025-03-23,16:17:57
CHZ-USD,Chiliz USD,0.044814397,-0.0018805563,-4.027324,425001664,39241188,9483595776,2025-03-23,16:17:57
CAKE-USD,PancakeSwap USD,2.596372,-0.12545085,-4.6090693,784010496,194998576,301963840,2025-03-23,16:17:57
ZIL-USD,Zilliqa USD,0.012179218,-0.00048926193,-3.8620439,239760256,11891366,19686014976,2025-03-23,16:17:57
ENJ-USD,Enjin Coin USD,0.090290464,-0.0023380518,-2.5241184,164167680,13025345,1818217344,2025-03-23,16:17:57
LRC-USD,Loopring USD,0.10478893,-0.0030456707,-2.8243904,143228208,10294715,1366825856,2025-03-23,16:17:57
BAT-USD,Basic Attention Token USD,0.14733231,-0.0047398508,-3.1168423,220360288,11678427,1495668352,2025-03-23,16:17:57
DASH-USD,Dash USD,23.162457,-0.2699833,-1.1521759,282298144,39906128,12187746,2025-03-23,16:17:57
CRV-USD,Curve DAO Token USD,0.5027458,0.024318635,5.0830407,656281792,160393184,1305394816,2025-03-23,16:17:57
RUNE-USD,THORChain USD,1.2711544,0.019036412,1.5203314,447124096,96638240,351746496,2025-03-23,16:17:57
1INCH-USD,1inch Network USD,0.20824116,-0.0025120676,-1.1919491,286894464,17381182,1377703040,2025-03-23,16:17:57
CELO-USD,Celo USD,0.3678678,-0.008440584,-2.2429943,207943904,20556772,565268032,2025-03-23,16:17:57
XEM-USD,NEM USD,0.01920774,6.822869e-06,0.03553081,172869664,24246164,8999999488,2025-03-23,16:17:57
QTUM-USD,Qtum USD,2.1267104,-0.037699938,-1.741809,224522656,40924136,105572744,2025-03-23,16:17:57
ONT-USD,Ontology USD,0.14851613,-0.005880952,-3.8089828,135698864,5509655,913697856,2025-03-23,16:17:57
OMG-USD,OMG Network USD,0.21592966,-0.003477797,-1.5850843,30283140,12141926,140245392,2025-03-23,16:17:57
YFI-USD,yearn.finance USD,5145.173,-56.486816,-1.0859398,173647872,22503712,33749,2025-03-23,16:17:57
ICX-USD,ICON USD,0.099870905,-0.0028545856,-2.778849,105434344,2087967,1055706368,2025-03-23,16:17:57
BTT-USD,BitTorrent [New] USD,6.875732e-07,-5.931213e-09,-0.85525405,677989248,18148394,986061140393984,2025-03-23,16:17:57
WAVES-USD,Waves USD,1.3790711,-0.024979472,-1.7790966,161767808,22329614,117302000,2025-03-23,16:17:57
ZRX-USD,0x Protocol USD,0.2571404,-0.009202629,-3.4551735,218157040,26581120,848396544,2025-03-23,16:17:57
KAVA-USD,Kava USD,0.5057602,-0.039332926,-7.2158165,547664192,24605598,1082853504,2025-03-23,16:17:57
ANKR-USD,Ankr USD,0.017592011,-0.000606684,-3.3336642,175920112,12887043,10000000000,2025-03-23,16:17:57
ALGO-USD,Algorand USD,0.1880077,-0.0017692447,-0.9322739,1600995456,47873980,8515585024,2025-03-23,16:17:57
STX-USD,Stox USD,0.0023018594,1.1874363e-07,0.00516019,0,11,0,2025-03-23,16:17:57
DGB-USD,DigiByte USD,0.007900286,8.468516e-06,0.1073104,139032544,2536285,17598418944,2025-03-23,16:17:57
HNT-USD,Helium USD,3.257331,0.014912844,0.45993465,585540800,4257164,179760928,2025-03-23,16:17:57
KLAY-USD,Klaytn USD,0.10673435,-0.001958266,-1.8016545,0,213494,0,2025-03-23,16:17:57
GALA-USD,Gala USD,0.017052578,-0.00023697689,-1.3706328,744292672,51545228,43646926848,2025-03-23,16:17:57
RSR-USD,Reserve Rights USD,0.0063272887,-1.4897902e-05,-0.23490068,353693792,27592078,55899742208,2025-03-23,16:17:57
MINA-USD,Mina USD,0.2664837,-0.0048619807,-1.7918059,325638080,20501928,1221981184,2025-03-23,16:17:57
XDC-USD,XDC Network USD,0.07065355,-0.0022499114,-3.086148,1109037056,24260562,15696833536,2025-03-23,16:17:57
RVN-USD,Ravencoin USD,0.012158816,-0.0003121104,-2.5027022,181887680,7909609,14959325184,2025-03-23,16:17:57
IOST-USD,IOST USD,0.004134028,-0.00015737815,-3.6672916,94715224,12184757,22911123456,2025-03-23,16:17:57
WAXP-USD,WAX USD,0.02370153,-0.0005878005,-2.4199939,103149456,8758049,4352016896,2025-03-23,16:17:57
SC-USD,Siacoin USD,0.0033637197,-8.8677974e-05,-2.5685914,188454544,15735186,56025636864,2025-03-23,16:17:57
COTI-USD,COTI USD,0.07411809,0.00021861494,0.29582405,132842528,27441188,1792308992,2025-03-23,16:17:57
TEL-USD,Telcoin USD,0.006176218,0.00022249622,3.7370975,579823872,1682189,93880082432,2025-03-23,16:17:57
WIN-USD,WINkLink USD,5.9861442e-05,-1.5159094e-06,-2.4698124,59484424,34743676,993701855232,2025-03-23,16:17:57
TWT-USD,Trust Wallet Token USD,0.89145595,-0.013540804,-1.496223,371425024,9387978,416649888,2025-03-23,16:17:57
ZEN-USD,Horizen USD,8.730792,-0.32445812,-3.5830948,139085936,18725226,15930506,2025-03-23,16:17:57
AR-USD,Arweave USD,7.1315846,-0.33885098,-4.5358934,468206112,47432516,65652464,2025-03-23,16:17:57
BNT-USD,Bancor USD,0.40777907,-0.011216223,-2.6769354,47239552,4629219,115845944,2025-03-23,16:17:57
OGN-USD,Origin Protocol USD,0.06572978,-0.0009486899,-1.422789,45354180,9839883,690009664,2025-03-23,16:17:57
UMA-USD,UMA USD,1.3948482,-0.15654314,-10.090502,119934592,55537284,85983976,2025-03-23,16:17:57
BAL-USD,Balancer USD,1.4682889,-0.018450737,-1.2410156,91887664,8401279,62581460,2025-03-23,16:17:57
REEF-USD,Reef USD,0.00048130698,-3.521645e-05,-6.8179717,10115000,7248454,21015693312,2025-03-23,16:17:57
LPT-USD,Livepeer USD,5.3598347,-0.36654997,-6.4010735,209392144,36608760,39066904,2025-03-23,16:17:57
STORJ-USD,Storj USD,0.28898782,-0.008739054,-2.9352632,116233960,12024511,402210624,2025-03-23,16:17:57
RLC-USD,iExec RLC USD,1.328036,-0.037554145,-2.750036,96126632,9446177,72382552,2025-03-23,16:17:57
NKN-USD,NKN USD,0.047105286,-0.0016989857,-3.4812233,37012020,6442652,785729600,2025-03-23,16:17:57
OCEAN-USD,Ocean Protocol USD,0.23122753,-0.0008483231,-0.36553773,0,48539,0,2025-03-23,16:17:57
BAND-USD,Band Protocol USD,0.7807855,-0.03778386,-4.6158457,123861216,9760366,158636672,2025-03-23,16:17:57
SKL-USD,SKALE USD,0.027202047,-0.001131719,-3.9942443,157638656,21038330,5795102720,2025-03-23,16:17:57
MTL-USD,Metal DAO USD,0.7597181,-0.028575659,-3.6250024,63828132,901962,84015544,2025-03-23,16:17:57
CVC-USD,Civic USD,0.09619202,-0.0037924498,-3.793036,96192016,8607288,1000000000,2025-03-23,16:17:57
PERP-USD,Perpetual Protocol USD,0.36741108,-0.012109369,-3.1907046,24249924,9303827,66002156,2025-03-23,16:17:57
STMX-USD,StormX USD,0.004383628,0.0006623836,17.800055,54140680,11469728,12350656512,2025-03-23,16:17:57
CTSI-USD,Cartesi USD,0.073434085,-0.0034206808,-4.4508348,63272780,7162326,861626880,2025-03-23,16:17:57
SXP-USD,Solar USD,0.20525165,-0.0026679784,-1.2831775,130849360,3883648,637506944,2025-03-23,16:17:57
TRX-USD,TRON USD,0.23079908,-0.004783958,-2.0306864,21928167424,544476992,95009767424,2025-03-23,16:17:57
FTT-USD,FTX Token USD,1.187399,-0.035525918,-2.904991,390529728,16724262,328895104,2025-03-23,16:17:57
EWT-USD,Energy Web Token USD,0.85754365,-0.012943029,-1.4868743,25779596,68284,30062138,2025-03-23,16:17:57
API3-USD,API3 USD,1.4466958,0.101824045,7.5712824,125026312,227371488,86421976,2025-03-23,16:17:57
MOVR-USD,Moonriver USD,6.353415,-0.12360811,-1.9084117,60443464,26591446,9513539,2025-03-23,16:17:57
KMD-USD,Komodo USD,0.16799524,-0.007093236,-4.051224,22839604,4638613,135953872,2025-03-23,16:17:57
PUNDIX-USD,Pundi X (New) USD,0.30484572,-0.00812757,-2.5968845,78768032,7880288,258386544,2025-03-23,16:17:57
GNO-USD,Gnosis USD,127.155174,-2.1441574,-1.6582862,329102208,7105764,2588193,2025-03-23,16:17:57
MLN-USD,Enzyme USD,9.010794,-0.39130783,-4.161921,26740210,8386935,2967575,2025-03-23,16:17:57
