Symbol,Name,Price,Change,Change %,Market Cap,Volume,Circulating Supply,Calculation Date,Calculation Hour
BTC-USD,Bitcoin USD,85016.65,953.40625,1.1341625,1686801350656,10757305344,19840836,2025-03-23,12:20:31
ETH-USD,Ethereum USD,2006.3287,22.36438,1.1272503,242037063680,6971420672,120636792,2025-03-23,12:20:31
BNB-USD,BNB USD,622.9099,-2.008484,-0.32140052,88747876352,1190485504,142473056,2025-03-23,12:20:31
XRP-USD,XRP USD,2.4065282,0.031270742,1.3165274,139959140352,1927201536,58158112768,2025-03-23,12:20:31
ADA-USD,Cardano USD,0.70865804,0.0061028004,0.8686574,24972359680,506942848,35238940672,2025-03-23,12:20:31
SOL-USD,Solana USD,132.67258,3.8071747,2.9543805,67744882688,1525547008,510617056,2025-03-23,12:20:31
DOGE-USD,Dogecoin USD,0.17137589,0.0036561638,2.1799202,25457725440,519183264,148549058560,2025-03-23,12:20:31
DOT-USD,Polkadot USD,4.470377,0.040757656,0.9201217,6974702592,128955608,1560204416,2025-03-23,12:20:31
MATIC-USD,Polygon USD,0.21117721,0.001166299,0.55535156,0,464113,0,2025-03-23,12:20:31
LTC-USD,Litecoin USD,92.66247,1.7964172,1.9769934,7001434112,285290752,75558472,2025-03-23,12:20:31
BCH-USD,Bitcoin Cash USD,324.55743,0.6292114,0.1942338,6441186304,186979584,19846060,2025-03-23,12:20:31
LINK-USD,Chainlink USD,14.397876,0.21234608,1.4969246,9460843520,216689920,657099968,2025-03-23,12:20:31
XLM-USD,Stellar USD,0.28179342,0.0070511103,2.566449,8667381760,153202064,30757928960,2025-03-23,12:20:31
UNI-USD,UNICORN Token USD,0.00017084078,1.9725267e-06,1.1680875,18265,3,106912512,2025-03-23,12:20:31
ETC-USD,Ethereum Classic USD,17.660654,-0.23024178,-1.2869247,2670846720,75685776,151231472,2025-03-23,12:20:31
FIL-USD,Filecoin USD,3.0016425,0.024406433,0.8197612,1938482560,75826120,645807296,2025-03-23,12:20:31
ATOM-USD,Cosmos USD,4.7586703,-0.026960373,-0.56335765,1860327040,141846640,390934208,2025-03-23,12:20:31
VET-USD,VeChain USD,0.025155477,-0.00015640073,-0.6178972,2162994688,44188196,85985042432,2025-03-23,12:20:31
HBAR-USD,Hedera USD,0.18354857,0.0006301999,0.3445263,7749310464,155447472,42219401216,2025-03-23,12:20:31
ICP-USD,Internet Computer USD,5.8149185,0.082205296,1.433971,2801591808,43046072,481793792,2025-03-23,12:20:31
EGLD-USD,MultiversX USD,18.30509,0.24653053,1.3651711,512686432,32376950,28007860,2025-03-23,12:20:31
MANA-USD,Decentraland USD,0.26288888,0.0007663071,0.29235092,510597280,44130592,1942255232,2025-03-23,12:20:31
SAND-USD,The Sandbox USD,0.2837201,0.0013813376,0.4892462,704010880,42713036,2481357056,2025-03-23,12:20:31
AXS-USD,Axie Infinity USD,3.3632057,-0.01305294,-0.3866075,537134400,17246048,159709056,2025-03-23,12:20:31
THETA-USD,Theta Network USD,0.9132589,-0.0144709945,-1.5598291,913258880,13008246,1000000000,2025-03-23,12:20:31
AAVE-USD,Aave USD,183.61375,3.7316132,2.0744815,2770949888,160531888,15091190,2025-03-23,12:20:31
FTM-USD,Fantom USD,0.69689536,-0.004967928,-0.70781803,1953840128,46269352,2803634944,2025-03-23,12:20:31
GRT-USD,Golden Ratio Token USD,0.45430142,-0.03135559,-6.45632,0,2312535,0,2025-03-23,12:20:31
FLOW-USD,Flow USD,0.41460726,-0.003100574,-0.7422832,651375296,15791556,1571065856,2025-03-23,12:20:31
KSM-USD,Kusama USD,17.143303,0.2455635,1.4532312,278911840,10490431,16269435,2025-03-23,12:20:31
XTZ-USD,Tezos USD,0.6841687,-0.01478219,-2.1149123,708723904,14654034,1035890560,2025-03-23,12:20:31
NEO-USD,Neo USD,8.061938,-0.04141903,-0.51113534,568679680,12748667,70538832,2025-03-23,12:20:31
CHZ-USD,Chiliz USD,0.04541256,-0.00066134706,-1.4354032,430658208,37639520,9483240448,2025-03-23,12:20:31
CAKE-USD,PancakeSwap USD,2.6184347,-0.070436,-2.6195376,790661376,211249856,301959552,2025-03-23,12:20:31
ZIL-USD,Zilliqa USD,0.012365104,-0.00013974495,-1.1175269,243409744,11143790,19685216256,2025-03-23,12:20:31
ENJ-USD,Enjin Coin USD,0.09076286,-1.4595687e-05,-0.01608214,165026704,13485352,1818218496,2025-03-23,12:20:31
LRC-USD,Loopring USD,0.10591886,-0.0010184646,-0.95239526,144772640,9959978,1366825856,2025-03-23,12:20:31
BAT-USD,Basic Attention Token USD,0.14841555,-0.0015632361,-1.0423006,221980448,11153841,1495668352,2025-03-23,12:20:31
DASH-USD,Dash USD,23.138008,-0.026813507,-0.11575449,281997664,38165792,12187638,2025-03-23,12:20:31
CRV-USD,Curve DAO Token USD,0.5025734,0.03652081,7.836202,656031360,138756624,1305344512,2025-03-23,12:20:31
RUNE-USD,THORChain USD,1.2593025,0.0146433115,1.1764861,442955872,88221688,351746976,2025-03-23,12:20:31
1INCH-USD,1inch Network USD,0.21118951,0.0034369528,1.654353,290956416,16222652,1377703040,2025-03-23,12:20:31
CELO-USD,Celo USD,0.37906712,0.008415461,2.2704477,214274512,17907870,565268032,2025-03-23,12:20:31
XEM-USD,NEM USD,0.019201087,6.0254708e-05,0.3147955,172809776,22660586,8999999488,2025-03-23,12:20:31
QTUM-USD,Qtum USD,2.1430836,-0.0031955242,-0.14888634,226250752,39667164,105572520,2025-03-23,12:20:31
ONT-USD,Ontology USD,0.14924838,-0.0011939555,-0.793627,136367920,5642424,913697856,2025-03-23,12:20:31
OMG-USD,OMG Network USD,0.2149067,-0.0009859949,-0.45670268,30139678,10231092,140245392,2025-03-23,12:20:31
YFI-USD,yearn.finance USD,5128.1855,-21.77295,-0.42277485,173074544,21288552,33749,2025-03-23,12:20:31
ICX-USD,ICON USD,0.10089842,-0.0010090396,-0.9901547,106519048,1983194,1055705792,2025-03-23,12:20:31
BTT-USD,BitTorrent [New] USD,6.9138247e-07,2.784759e-10,0.04029743,681745408,16379222,986061140393984,2025-03-23,12:20:31
WAVES-USD,Waves USD,1.3872613,-0.010128379,-0.7248082,162726576,20331920,117300600,2025-03-23,12:20:31
ZRX-USD,0x Protocol USD,0.26047245,-0.00299114,-1.1353197,220983920,25972766,848396544,2025-03-23,12:20:31
KAVA-USD,Kava USD,0.50965935,-0.03176558,-5.8670316,551886400,22495480,1082853504,2025-03-23,12:20:31
ANKR-USD,Ankr USD,0.017795287,-1.055561e-05,-0.05927479,177952880,13259815,10000000000,2025-03-23,12:20:31
ALGO-USD,Algorand USD,0.18945713,0.0016815811,0.8955197,1613332736,44205392,8515555328,2025-03-23,12:20:31
STX-USD,Stox USD,0.0023018594,4.239846e-07,0.01842364,0,11,0,2025-03-23,12:20:31
DGB-USD,DigiByte USD,0.007940794,8.723978e-05,1.110828,139745440,2374256,17598418944,2025-03-23,12:20:31
HNT-USD,Helium USD,3.2718945,0.051537037,1.6003505,588158784,4455426,179760928,2025-03-23,12:20:31
KLAY-USD,Klaytn USD,0.10788732,-0.00049787015,-0.45935446,0,210479,0,2025-03-23,12:20:31
GALA-USD,Gala USD,0.017255805,0.00023815222,1.3994496,753162944,47145372,43646930944,2025-03-23,12:20:31
RSR-USD,Reserve Rights USD,0.0063725077,0.00014785305,2.3752842,356221504,26212398,55899742208,2025-03-23,12:20:31
MINA-USD,Mina USD,0.26888385,0.0044207573,1.6716002,328461248,20812792,1221572992,2025-03-23,12:20:31
XDC-USD,XDC Network USD,0.072180964,-0.00033918023,-0.46770117,1133010048,22984684,15696797696,2025-03-23,12:20:31
RVN-USD,Ravencoin USD,0.012275123,-0.000118108466,-0.9530055,183619648,6988549,14958680064,2025-03-23,12:20:31
IOST-USD,IOST USD,0.004148964,-8.645188e-05,-2.041168,95057416,11410001,22911123456,2025-03-23,12:20:31
WAXP-USD,WAX USD,0.023975212,-0.00019432418,-0.804004,104338240,9082458,4351921152,2025-03-23,12:20:31
SC-USD,Siacoin USD,0.0033727072,-8.10558e-05,-2.346883,188958064,15528601,56025636864,2025-03-23,12:20:31
COTI-USD,COTI USD,0.07438277,0.0008308068,1.1295553,133316904,27560940,1792308992,2025-03-23,12:20:31
TEL-USD,Telcoin USD,0.0062417327,0.00035760412,6.077438,585974400,1474358,93880082432,2025-03-23,12:20:31
WIN-USD,WINkLink USD,6.0478673e-05,-7.521048e-07,-1.22831,60097772,32968608,993701855232,2025-03-23,12:20:31
TWT-USD,Trust Wallet Token USD,0.9041232,0.0077145696,0.8606039,376702848,8828793,416649888,2025-03-23,12:20:31
ZEN-USD,Horizen USD,8.901867,0.010486603,0.11794153,141808720,18819354,15930222,2025-03-23,12:20:31
AR-USD,Arweave USD,7.1539445,-0.0028157234,-0.03934673,469674112,51622780,65652464,2025-03-23,12:20:31
BNT-USD,Bancor USD,0.4094011,-0.0033302605,-0.8068824,47427456,3938294,115845944,2025-03-23,12:20:31
OGN-USD,Origin Protocol USD,0.066673666,0.00083548576,1.2689945,46005472,9696801,690009664,2025-03-23,12:20:31
UMA-USD,UMA USD,1.3740325,-0.19054735,-12.178819,118144680,95641016,85983904,2025-03-23,12:20:31
BAL-USD,Balancer USD,1.4804922,0.005302787,0.35946044,92649352,7996308,62580104,2025-03-23,12:20:31
REEF-USD,Reef USD,0.00048052915,-2.707803e-05,-5.3344493,10098653,6148192,21015693312,2025-03-23,12:20:31
LPT-USD,Livepeer USD,5.472478,0.0044574738,0.08151777,213792768,41053916,39066904,2025-03-23,12:20:31
STORJ-USD,Storj USD,0.29062504,-0.0005479157,-0.18817821,116892480,12169314,402210624,2025-03-23,12:20:31
RLC-USD,iExec RLC USD,1.3456837,-0.019854546,-1.4539723,97404016,9978067,72382552,2025-03-23,12:20:31
NKN-USD,NKN USD,0.04781418,-0.00023663044,-0.49245852,37568712,6492999,785723264,2025-03-23,12:20:31
